Need,Reference,Group,Value
KCaloryNeed,WorldBank,Adult,2100.0
KCaloryNeed,WorldBank,Adult,2100.0
KCaloryNeed,WorldBank,Child,1800.0
KCaloryNeed,WorldBank,B1,850.0
KCaloryNeed,WorldBank,G1,780.0
KCaloryNeed,WorldBank,B2,1250.0
KCaloryNeed,WorldBank,G2,1190.0
KCaloryNeed,WorldBank,B3,1430.0
KCaloryNeed,WorldBank,G3,1330.0
KCaloryNeed,WorldBank,B4,1560.0
KCaloryNeed,WorldBank,G4,1440.0
KCaloryNeed,WorldBank,B5,1690.0
KCaloryNeed,WorldBank,G5,1540.0
KCaloryNeed,WorldBank,B6,1980.0
KCaloryNeed,WorldBank,G6,1730.0
KCaloryNeed,WorldBank,B7,2370.0
KCaloryNeed,WorldBank,G7,2040.0
KCaloryNeed,WorldBank,B8,2700.0
KCaloryNeed,WorldBank,G8,2120.0
KCaloryNeed,WorldBank,B9,2460.0
KCaloryNeed,WorldBank,G9,1990.0
KCaloryNeed,WorldBank,B10,2010.0
KCaloryNeed,WorldBank,G10,1780.0
ProteinNeed,WorldBank,B1,12.6
ProteinNeed,WorldBank,G1,11.7
ProteinNeed,WorldBank,B2,13.9
ProteinNeed,WorldBank,G2,13.1
ProteinNeed,WorldBank,B3,13.9
ProteinNeed,WorldBank,G3,13.5
ProteinNeed,WorldBank,B4,15.7
ProteinNeed,WorldBank,G4,15.3
ProteinNeed,WorldBank,B5,26.2
ProteinNeed,WorldBank,G5,26.5
ProteinNeed,WorldBank,B6,49.3
ProteinNeed,WorldBank,G6,60
ProteinNeed,WorldBank,B7,65.5
ProteinNeed,WorldBank,G7,58.2
ProteinNeed,WorldBank,B8,66
ProteinNeed,WorldBank,G8,59
ProteinNeed,WorldBank,B9,66
ProteinNeed,WorldBank,G9,59
KCaloryNeed,NutInst,B1,705.0
KCaloryNeed,NutInst,G1,643.0
KCaloryNeed,NutInst,B2,948.0
KCaloryNeed,NutInst,G2,865.0
KCaloryNeed,NutInst,B3,1120.0
KCaloryNeed,NutInst,G3,1047.0
KCaloryNeed,NutInst,B4,1360.0
KCaloryNeed,NutInst,G4,1242.0
KCaloryNeed,NutInst,B5,1927.0
KCaloryNeed,NutInst,G5,1782.0
KCaloryNeed,NutInst,B6,3036.0
KCaloryNeed,NutInst,G6,2434.0
KCaloryNeed,NutInst,B7,3029.0
KCaloryNeed,NutInst,G7,2300.0
KCaloryNeed,NutInst,B8,2900.0
KCaloryNeed,NutInst,G8,2200.0
KCaloryNeed,NutInst,B9,2350.0
KCaloryNeed,NutInst,G9,2000.0
KCaloryNeed,NutInst,lactating,500.0
KCaloryNeed,NutInst,Adult,2400.0
